"Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Category","Domain","Domain Category","Value","CV (%)"
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES GROWN","TOTAL","NOT SPECIFIED",3,15.7
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,52.7
"COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",5,47.6
"COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","ACRES BEARING","TOTAL","NOT SPECIFIED",1,13.2
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","ACRES GROWN","TOTAL","NOT SPECIFIED",1,15.7
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",6,55.7
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,52.7
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,55.7
"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,47.6
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES BEARING","TOTAL","NOT SPECIFIED",8,13.2
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES GROWN","TOTAL","NOT SPECIFIED",9,15.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",1,99.95
